29993,791,"68,0","68,0","68,0",314432
29995,500,"68,0","68,0","68,0",314432
30125,107,"68,0","68,0","68,0",314432
10867,90,"68,0","68,0","68,0",314432
17201,80,"68,0","68,0","68,0",314432
11492,74,"68,0","68,0","68,0",314432
9307,58,"68,0","68,0","68,0",314432
832,49,"68,0","68,0","68,0",314432
26422,47,"68,0","68,0","68,0",314432
9095,46,"68,0","68,0","68,0",314432
2894,43,"68,0","68,0","68,0",314432
10424,40,"68,0","68,0","68,0",314432
31482,38,"68,0","68,0","68,0",314432
4132,37,"68,0","68,0","68,0",314432
8547,36,"68,0","68,0","68,0",314432
18483,32,"68,0","68,0","68,0",314432
17729,31,"68,0","68,0","68,0",314432
26443,31,"68,0","68,0","68,0",314432
1149,30,"68,0","68,0","68,0",314432
11748,28,"68,0","68,0","68,0",314432
4362,27,"68,0","68,0","68,0",314432
5484,27,"68,0","68,0","68,0",314432
10274,23,"68,0","68,0","68,0",314432
8281,22,"68,0","68,0","68,0",314432
1098,22,"68,0","68,0","68,0",314432
26662,22,"68,0","68,0","68,0",314432
13839,21,"68,0","68,0","68,0",314432
800,21,"68,0","68,0","68,0",314432
30109,21,"68,0","68,0","68,0",314432
8502,20,"68,0","68,0","68,0",314432
8503,20,"68,0","68,0","68,0",314432
16742,20,"68,0","68,0","68,0",314432
20081,20,"68,0","68,0","68,0",314432
29830,20,"68,0","68,0","68,0",314432
17115,19,"68,0","68,0","68,0",314432
19723,18,"68,0","68,0","68,0",314432
4705,17,"68,0","68,0","68,0",314432
16255,17,"68,0","68,0","68,0",314432
20945,16,"68,0","68,0","68,0",314432
16084,16,"68,0","68,0","68,0",314432
585,16,"68,0","68,0","68,0",314432
19207,15,"68,0","68,0","68,0",314432
24359,15,"68,0","68,0","68,0",314432
1507,15,"68,0","68,0","68,0",314432
11844,15,"68,0","68,0","68,0",314432
4721,12,"68,0","68,0","68,0",314432
24114,10,"68,0","68,0","68,0",314432
274,10,"68,0","68,0","68,0",314432
20764,10,"68,0","68,0","68,0",314432
12957,10,"68,0","68,0","68,0",314432
26839,9,"68,0","68,0","68,0",314432
8807,9,"68,0","68,0","68,0",314432
11226,8,"68,0","68,0","68,0",314432
121,8,"68,0","68,0","68,0",314432
23899,8,"68,0","68,0","68,0",314432
1396,7,"68,0","68,0","68,0",314432
18635,7,"68,0","68,0","68,0",314432
27046,7,"68,0","68,0","68,0",314432
30146,7,"68,0","68,0","68,0",314432
12620,7,"68,0","68,0","68,0",314432
29983,7,"68,0","68,0","68,0",314432
22547,7,"68,0","68,0","68,0",314432
16361,6,"68,0","68,0","68,0",314432
18342,6,"68,0","68,0","68,0",314432
15061,6,"68,0","68,0","68,0",314432
17367,6,"68,0","68,0","68,0",314432
4685,6,"68,0","68,0","68,0",314432
29490,6,"68,0","68,0","68,0",314432
31355,6,"68,0","68,0","68,0",314432
21295,6,"68,0","68,0","68,0",314432
